"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","concept","coordinates","correct","correct_wait_4_first_volume","count_blink_trial","count_blink_trial_seq","count_experiment_seq","count_experiment_stimuli","count_images_presentation","count_img_presentation","count_last_logging","count_logging","count_new_img","count_post_hrf_fixation","count_shuffle_images","count_start_experiment_interval","count_start_fixation","count_time_run_end_time","count_time_run_start_time","count_time_start_wait_4_hrf","count_time_trial_offset","count_time_trial_onset","count_type_run","count_wait_1","count_wait_4_first_volume","count_wait_4_fmri","count_wait_4_hrf","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gaussian_idxs","height","keyboard_backend","live_row","live_row_blink_trial","live_row_experiment_stimuli","living_idxs","logfile","mouse_backend","new_img","non_living_idxs","opensesame_codename","opensesame_version","patterns_idxs","repeat_cycle","response","response_time","response_time_wait_4_first_volume","response_wait_4_first_volume","round_decimals","run_end_time","run_start_time","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_wait_4_hrf","subject_nr","subject_parity","time_blink_trial","time_blink_trial_seq","time_experiment_seq","time_experiment_stimuli","time_images_presentation","time_img_presentation","time_last_logging","time_logging","time_new_img","time_post_hrf_fixation","time_shuffle_images","time_start_experiment_interval","time_start_fixation","time_time_run_end_time","time_time_run_start_time","time_time_start_wait_4_hrf","time_time_trial_offset","time_time_trial_onset","time_type_run","time_wait_1","time_wait_4_first_volume","time_wait_4_fmri","time_wait_4_hrf","title","total_correct","total_response_time","total_responses","trial_offset","trial_onset","type_run","uniform_coordinates","width"
"undefined","undefined","9746","9746","black","legacy","legacy","legacy","0","living","uniform","undefined","undefined","0","11","0","0","0","11","0","0","11","0","0","0","0","0","0","0","0","0","0","11","0","0","0","Mon May 30 13:07:50 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[1, 14, 36, 23, 18, 9, 43, 30, 25, 59, 49, 32, 42, 28, 4, 11, 5, 10, 27, 46, 3, 29, 53, 0, 6, 31, 56, 35, 2, 50, 8, 26, 19, 13, 40, 55, 44, 57, 17, 34, 24, 15, 51, 16, 22, 39, 41, 48, 21, 45, 52, 47, 37, 20, 38, 54, 58, 33, 7, 12]","768","legacy","11","11","0","[]","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_1.csv","legacy","dog_12.jpg","['scissors_2', 'scissors_6', 'scissors_5', 'scissors_1', 'scissors_9', 'scissors_8', 'scissors_7', 'scissors_11', 'scissors_12', 'scissors_10', 'scissors_4', 'scissors_3']","Lentiform Loewenfeld","3.3.9","[23, 6, 24, 34, 43, 29, 37, 56, 59, 10, 12, 36, 38, 51, 48, 57, 32, 27, 13, 35, 3, 30, 47, 41, 25, 2, 26, 49, 19, 21, 52, 8, 28, 20, 22, 1, 15, 16, 39, 5, 31, 4, 40, 7, 42, 54, 44, 17, 45, 11, 53, 0, 14, 33, 18, 58, 50, 46, 55, 9]","0","s","9746","9746","s","2","NA","10927","legacy","1024","2","48000","-16","images_presentation","23956","0","even","22445","33866","22444","22430","1176","33868","NA","44885","33867","43385","22445","10929","20930","NA","10927","34883","44885","22445","1178","34619","1181","1180","34884","images_presentation","0","9746","1","33958","11518","images_presentation","yes","1024"
"undefined","undefined","9746","9746","black","legacy","legacy","legacy","0","non_living","uniform","undefined","undefined","1","23","1","0","0","23","0","1","23","1","1","0","0","0","0","1","1","1","0","23","0","0","1","Mon May 30 13:07:50 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[52, 31, 24, 59, 37, 5, 42, 48, 17, 36, 29, 25, 20, 13, 1, 8, 6, 55, 53, 32, 7, 27, 38, 26, 47, 58, 10, 30, 35, 23, 41, 28, 19, 33, 4, 16, 34, 15, 18, 12, 39, 51, 43, 21, 57, 50, 0, 44, 45, 11, 49, 46, 14, 40, 56, 9, 54, 22, 3, 2]","768","legacy","11","11","1","['dog_3', 'dog_4', 'dog_5', 'dog_1', 'dog_9', 'dog_7', 'dog_6', 'dog_10', 'dog_11', 'dog_12', 'dog_8', 'dog_2']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_1.csv","legacy","scissors_5.jpg","[]","Lentiform Loewenfeld","3.3.9","[35, 57, 8, 3, 55, 4, 27, 46, 6, 16, 49, 21, 54, 41, 45, 51, 34, 22, 9, 38, 7, 13, 36, 26, 37, 20, 12, 48, 56, 43, 31, 44, 50, 42, 25, 14, 0, 2, 15, 28, 47, 32, 53, 59, 23, 5, 10, 11, 29, 39, 1, 52, 17, 19, 30, 24, 33, 18, 58, 40]","0","s","9746","9746","s","2","NA","10927","legacy","1024","2","48000","-16","images_presentation","46443","0","even","44926","56353","44926","22430","1176","56355","NA","67372","56353","65872","44926","10929","20930","NA","10927","57370","67372","44926","1178","57106","1181","1180","57371","images_presentation","0","9746","1","56445","33999","images_presentation","yes","1024"
"undefined","undefined","9746","9746","black","legacy","legacy","legacy","0","living","uniform","undefined","undefined","2","35","2","0","0","35","0","2","35","2","2","0","0","0","0","2","2","2","0","35","0","0","2","Mon May 30 13:07:50 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[45, 26, 52, 27, 7, 54, 29, 1, 11, 33, 34, 9, 31, 25, 0, 2, 21, 20, 5, 16, 8, 48, 19, 22, 3, 17, 15, 35, 13, 14, 55, 40, 50, 46, 23, 24, 18, 38, 57, 32, 41, 36, 49, 4, 37, 42, 30, 6, 56, 53, 39, 44, 10, 28, 43, 12, 59, 58, 47, 51]","768","legacy","11","11","2","[]","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_1.csv","legacy","dog_11.jpg","['scissors_1', 'scissors_5', 'scissors_8', 'scissors_12', 'scissors_10', 'scissors_9', 'scissors_4', 'scissors_2', 'scissors_6', 'scissors_11', 'scissors_7', 'scissors_3']","Lentiform Loewenfeld","3.3.9","[53, 47, 7, 40, 50, 11, 24, 31, 10, 44, 33, 18, 36, 27, 20, 0, 14, 5, 34, 29, 2, 30, 48, 51, 43, 6, 15, 13, 41, 23, 9, 37, 39, 26, 4, 59, 8, 35, 22, 25, 42, 58, 32, 17, 38, 46, 3, 56, 16, 19, 12, 54, 21, 55, 52, 49, 57, 1, 28, 45]","0","s","9746","9746","s","2","NA","10927","legacy","1024","2","48000","-16","images_presentation","68875","0","even","67414","78787","67413","22430","1176","78788","NA","89804","78787","88304","67414","10929","20930","NA","10927","79802","89804","67414","1178","79539","1181","1180","79803","images_presentation","0","9746","1","78877","56487","images_presentation","yes","1024"
"undefined","undefined","9746","9746","black","legacy","legacy","legacy","0","living","uniform","undefined","undefined","3","47","3","0","0","47","0","3","47","3","3","0","0","0","0","3","3","3","0","47","0","0","3","Mon May 30 13:07:50 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[16, 4, 25, 27, 5, 19, 14, 45, 29, 30, 59, 47, 23, 26, 11, 41, 52, 38, 46, 55, 21, 40, 32, 12, 9, 37, 28, 17, 10, 8, 36, 53, 57, 48, 34, 2, 33, 13, 24, 43, 7, 49, 6, 3, 54, 35, 15, 58, 39, 56, 31, 18, 51, 50, 44, 0, 1, 22, 42, 20]","768","legacy","11","11","3","[]","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_1.csv","legacy","dog_4.jpg","['scissors_7', 'scissors_9', 'scissors_2', 'scissors_6', 'scissors_3', 'scissors_1', 'scissors_4', 'scissors_12', 'scissors_8', 'scissors_5', 'scissors_11', 'scissors_10']","Lentiform Loewenfeld","3.3.9","[24, 44, 48, 25, 16, 39, 9, 33, 42, 6, 58, 50, 53, 34, 46, 2, 5, 47, 35, 56, 40, 12, 32, 15, 37, 57, 55, 30, 3, 14, 21, 49, 43, 36, 17, 23, 45, 59, 8, 41, 22, 29, 54, 18, 28, 10, 31, 7, 13, 38, 20, 26, 52, 11, 4, 27, 19, 1, 51, 0]","0","s","9746","9746","s","2","NA","10927","legacy","1024","2","48000","-16","images_presentation","91349","0","even","89883","101259","89882","22430","1176","101261","NA","112278","101259","110778","89883","10929","20930","NA","10927","102276","112278","89883","1178","102012","1181","1180","102277","images_presentation","0","9746","1","101351","78956","images_presentation","yes","1024"
"undefined","undefined","9746","9746","black","legacy","legacy","legacy","0","non_living","uniform","undefined","undefined","4","59","4","0","0","59","0","4","59","4","4","0","0","0","0","4","4","4","0","59","0","0","4","Mon May 30 13:07:50 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[19, 24, 53, 56, 51, 23, 27, 0, 58, 33, 26, 57, 54, 38, 43, 11, 39, 34, 3, 29, 35, 7, 25, 49, 45, 1, 47, 2, 20, 6, 36, 17, 30, 12, 32, 59, 44, 50, 10, 46, 28, 22, 31, 15, 8, 9, 16, 37, 5, 18, 55, 52, 48, 13, 41, 42, 4, 14, 40, 21]","768","legacy","11","11","4","['dog_9', 'dog_8', 'dog_7', 'dog_12', 'dog_1', 'dog_2', 'dog_4', 'dog_10', 'dog_3', 'dog_5', 'dog_6', 'dog_11']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_1.csv","legacy","scissors_5.jpg","[]","Lentiform Loewenfeld","3.3.9","[2, 45, 56, 28, 4, 42, 29, 54, 52, 37, 8, 3, 36, 32, 27, 14, 34, 11, 35, 57, 10, 47, 59, 0, 21, 24, 58, 26, 30, 9, 44, 22, 16, 33, 18, 43, 1, 49, 31, 7, 40, 13, 51, 38, 48, 12, 39, 41, 5, 19, 20, 46, 55, 53, 6, 50, 15, 23, 25, 17]","0","s","9746","9746","s","2","NA","10927","legacy","1024","2","48000","-16","images_presentation","113790","0","even","112320","123701","112319","22430","1176","123702","NA","134719","123701","133219","112320","10929","20930","NA","10927","124717","134719","112320","1178","124453","1181","1180","124718","images_presentation","0","9746","1","123792","101393","images_presentation","yes","1024"
"undefined","undefined","9746","9746","black","legacy","legacy","legacy","0","living","uniform","undefined","undefined","5","71","5","0","0","71","0","5","71","5","5","0","0","0","0","5","5","5","0","71","0","0","5","Mon May 30 13:07:50 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[47, 5, 48, 17, 10, 40, 29, 4, 8, 56, 27, 28, 34, 41, 1, 36, 13, 57, 32, 49, 45, 43, 24, 35, 15, 9, 21, 42, 59, 50, 23, 11, 19, 20, 14, 33, 26, 22, 25, 52, 3, 31, 58, 0, 39, 37, 55, 30, 51, 44, 2, 38, 12, 6, 53, 7, 18, 54, 46, 16]","768","legacy","11","11","5","[]","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_1.csv","legacy","dog_10.jpg","['scissors_3', 'scissors_12', 'scissors_5', 'scissors_2', 'scissors_8', 'scissors_6', 'scissors_1', 'scissors_7', 'scissors_4', 'scissors_10', 'scissors_9', 'scissors_11']","Lentiform Loewenfeld","3.3.9","[31, 17, 22, 37, 29, 4, 21, 50, 34, 25, 59, 44, 3, 41, 12, 58, 28, 52, 27, 53, 32, 19, 48, 18, 5, 10, 23, 11, 14, 35, 20, 13, 45, 26, 9, 55, 38, 6, 0, 2, 36, 46, 49, 43, 8, 24, 1, 15, 56, 42, 57, 7, 51, 40, 33, 16, 30, 54, 47, 39]","0","s","9746","9746","s","2","NA","10927","legacy","1024","2","48000","-16","images_presentation","136227","0","even","134755","146138","134754","22430","1176","146139","NA","157156","146138","155656","134755","10929","20930","NA","10927","147154","157156","134755","1178","146890","1181","1180","147155","images_presentation","0","9746","1","146229","123828","images_presentation","yes","1024"
"undefined","undefined","9746","9746","black","legacy","legacy","legacy","0","living","uniform","undefined","undefined","6","83","6","0","0","83","0","6","83","6","6","0","0","0","0","6","6","6","0","83","0","0","6","Mon May 30 13:07:50 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[53, 50, 36, 4, 27, 1, 38, 17, 22, 41, 8, 59, 40, 49, 48, 26, 25, 58, 10, 32, 3, 46, 31, 0, 34, 20, 23, 37, 5, 47, 11, 56, 29, 19, 54, 7, 30, 33, 35, 45, 21, 2, 12, 42, 13, 18, 6, 57, 43, 39, 15, 16, 52, 55, 51, 24, 28, 44, 14, 9]","768","legacy","11","11","6","[]","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_1.csv","legacy","dog_12.jpg","['scissors_4', 'scissors_5', 'scissors_7', 'scissors_1', 'scissors_6', 'scissors_3', 'scissors_9', 'scissors_10', 'scissors_11', 'scissors_12', 'scissors_8', 'scissors_2']","Lentiform Loewenfeld","3.3.9","[45, 22, 32, 12, 43, 30, 59, 26, 9, 8, 1, 49, 57, 0, 28, 27, 47, 25, 54, 7, 52, 23, 21, 50, 4, 38, 56, 48, 20, 13, 10, 19, 40, 5, 6, 34, 16, 35, 2, 46, 29, 33, 53, 31, 11, 15, 55, 14, 24, 44, 37, 17, 58, 41, 51, 36, 42, 39, 18, 3]","0","s","9746","9746","s","2","NA","10927","legacy","1024","2","48000","-16","images_presentation","158675","0","even","157195","168586","157195","22430","1176","168587","NA","179604","168586","178104","157195","10929","20930","NA","10927","169602","179604","157195","1178","169338","1181","1180","169603","images_presentation","0","9746","1","168677","146268","images_presentation","yes","1024"
"undefined","undefined","9746","9746","black","legacy","legacy","legacy","0","non_living","uniform","undefined","undefined","7","95","7","0","0","95","0","7","95","7","7","0","0","0","0","7","7","7","0","95","0","0","7","Mon May 30 13:07:50 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[56, 50, 31, 51, 15, 32, 8, 21, 2, 5, 28, 12, 26, 16, 9, 59, 33, 38, 55, 19, 54, 18, 7, 40, 23, 36, 20, 22, 58, 48, 47, 0, 53, 29, 44, 49, 57, 52, 3, 10, 46, 24, 34, 41, 13, 25, 39, 1, 45, 27, 43, 37, 4, 17, 11, 14, 6, 35, 30, 42]","768","legacy","11","11","7","['dog_1', 'dog_9', 'dog_4', 'dog_7', 'dog_2', 'dog_11', 'dog_8', 'dog_10', 'dog_6', 'dog_5', 'dog_12', 'dog_3']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_1.csv","legacy","scissors_1.jpg","[]","Lentiform Loewenfeld","3.3.9","[14, 36, 48, 31, 34, 46, 22, 16, 6, 21, 38, 9, 37, 42, 53, 47, 1, 39, 2, 25, 29, 28, 59, 52, 58, 5, 35, 0, 7, 12, 3, 49, 23, 20, 51, 26, 55, 33, 19, 24, 57, 17, 41, 43, 44, 18, 27, 11, 50, 56, 30, 13, 45, 32, 40, 4, 15, 10, 8, 54]","0","s","9746","9746","s","2","NA","10927","legacy","1024","2","48000","-16","images_presentation","181148","0","even","179683","191058","179682","22430","1176","191060","NA","202077","191059","200577","179683","10929","20930","NA","10927","192075","202077","179683","1178","191811","1181","1180","192076","images_presentation","0","9746","1","191150","168756","images_presentation","yes","1024"
"undefined","undefined","9746","9746","black","legacy","legacy","legacy","0","non_living","uniform","undefined","undefined","8","107","8","0","0","107","0","8","107","8","8","0","0","0","0","8","8","8","0","107","0","0","8","Mon May 30 13:07:50 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[44, 51, 14, 39, 2, 45, 58, 41, 0, 1, 55, 42, 54, 13, 17, 9, 15, 24, 31, 26, 7, 48, 35, 11, 37, 19, 32, 6, 29, 27, 16, 4, 57, 5, 46, 3, 23, 38, 20, 8, 56, 18, 12, 33, 59, 10, 47, 34, 49, 25, 52, 53, 43, 30, 22, 28, 50, 40, 21, 36]","768","legacy","11","11","8","['dog_3', 'dog_9', 'dog_4', 'dog_8', 'dog_1', 'dog_10', 'dog_11', 'dog_7', 'dog_6', 'dog_12', 'dog_5', 'dog_2']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_1.csv","legacy","scissors_1.jpg","[]","Lentiform Loewenfeld","3.3.9","[45, 32, 4, 7, 3, 1, 37, 52, 23, 29, 46, 14, 9, 0, 34, 22, 12, 31, 15, 19, 50, 2, 53, 16, 26, 27, 28, 43, 58, 18, 42, 44, 30, 49, 20, 21, 38, 25, 10, 17, 13, 40, 11, 57, 47, 55, 59, 54, 56, 51, 48, 41, 33, 39, 24, 35, 6, 8, 5, 36]","0","s","9746","9746","s","2","NA","10927","legacy","1024","2","48000","-16","images_presentation","203622","0","even","202157","213533","202156","22430","1176","213534","NA","224551","213533","223051","202157","10929","20930","NA","10927","214549","224551","202157","1178","214285","1181","1180","214550","images_presentation","0","9746","1","213624","191230","images_presentation","yes","1024"
"undefined","undefined","9746","9746","black","legacy","legacy","legacy","0","gaussian","uniform","undefined","undefined","9","119","9","0","0","119","0","9","119","9","9","0","0","0","0","9","9","9","0","119","0","0","9","Mon May 30 13:07:50 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[15, 58, 57, 55, 40, 23, 3, 12, 46, 51, 5, 47, 59, 16, 34, 9, 8, 36, 41, 29, 13, 19, 54, 52, 4, 49, 44, 7, 30, 18, 17, 37, 24, 2, 11, 26, 56, 38, 21, 20, 45, 22, 53, 39, 35, 42, 48, 14]","768","legacy","11","11","9","['dog_10', 'dog_11', 'dog_9', 'dog_8', 'dog_1', 'dog_6', 'dog_5', 'dog_12', 'dog_4', 'dog_2', 'dog_3', 'dog_7']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_1.csv","legacy","gaussian_27.jpg","['scissors_7', 'scissors_4', 'scissors_9', 'scissors_2', 'scissors_10', 'scissors_8', 'scissors_12', 'scissors_1', 'scissors_3', 'scissors_5', 'scissors_11', 'scissors_6']","Lentiform Loewenfeld","3.3.9","[2, 0, 24, 47, 16, 19, 4, 34, 52, 53, 35, 1, 41, 7, 51, 14, 3, 54, 39, 20, 40, 22, 25, 11, 49, 31, 42, 5, 58, 46, 18, 12, 57, 10, 37, 36, 50, 44, 48, 6, 28, 15, 30, 17, 29, 13, 59, 27, 26, 32, 55, 45, 21, 43, 38, 8, 33, 23, 9, 56]","0","s","9746","9746","s","2","NA","10927","legacy","1024","2","48000","-16","images_presentation","226113","0","even","224592","236023","224591","22430","1176","236025","NA","247045","236023","245544","224592","10929","20930","NA","10927","237040","247045","224592","1178","236776","1181","1180","237041","images_presentation","0","9746","1","236118","213665","images_presentation","yes","1024"
