"acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","concept","coordinates","correct","correct_wait_4_first_volume","count_blink_trial","count_blink_trial_seq","count_experiment_seq","count_experiment_stimuli","count_images_presentation","count_img_presentation","count_last_logging","count_logging","count_new_img","count_post_hrf_fixation","count_shuffle_images","count_start_experiment_interval","count_start_fixation","count_time_run_end_time","count_time_run_start_time","count_time_start_wait_4_hrf","count_time_trial_offset","count_time_trial_onset","count_type_run","count_wait_1","count_wait_4_first_volume","count_wait_4_fmri","count_wait_4_hrf","datetime","description","disable_garbage_collection","empty_column","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","gaussian_idxs","height","keyboard_backend","live_row","live_row_blink_trial","live_row_experiment_stimuli","living_idxs","logfile","mouse_backend","new_img","non_living_idxs","opensesame_codename","opensesame_version","patterns_idxs","repeat_cycle","response","response_time","response_time_wait_4_first_volume","response_wait_4_first_volume","round_decimals","run_end_time","run_start_time","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","start_wait_4_hrf","subject_nr","subject_parity","time_blink_trial","time_blink_trial_seq","time_experiment_seq","time_experiment_stimuli","time_images_presentation","time_img_presentation","time_last_logging","time_logging","time_new_img","time_post_hrf_fixation","time_shuffle_images","time_start_experiment_interval","time_start_fixation","time_time_run_end_time","time_time_run_start_time","time_time_start_wait_4_hrf","time_time_trial_offset","time_time_trial_onset","time_type_run","time_wait_1","time_wait_4_first_volume","time_wait_4_fmri","time_wait_4_hrf","title","total_correct","total_response_time","total_responses","trial_offset","trial_onset","type_run","uniform_coordinates","width"
"undefined","undefined","12596","12596","black","legacy","legacy","legacy","0","non_living","uniform","undefined","undefined","0","11","0","0","0","11","0","0","11","0","0","0","0","0","0","0","0","0","0","11","0","0","0","Mon May 30 13:30:53 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[37, 51, 53, 6, 31, 46, 25, 21, 19, 10, 48, 59, 13, 5, 40, 36, 49, 0, 15, 33, 26, 30, 52, 50, 35, 23, 2, 20, 47, 41, 9, 54, 44, 45, 39, 43, 32, 12, 17, 29, 42, 22, 14, 16, 8, 55, 56, 7, 58, 1, 38, 27, 4, 34, 57, 18, 11, 24, 28, 3]","768","legacy","11","11","0","['dog_9', 'dog_10', 'dog_1', 'dog_3', 'dog_6', 'dog_4', 'dog_12', 'dog_8', 'dog_11', 'dog_7', 'dog_2', 'dog_5']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_4.csv","legacy","scissors_12.jpg","[]","Lentiform Loewenfeld","3.3.9","[34, 39, 54, 19, 22, 15, 41, 48, 31, 21, 12, 58, 53, 4, 59, 3, 29, 43, 35, 16, 1, 28, 42, 33, 24, 10, 26, 23, 7, 30, 20, 11, 6, 46, 17, 56, 50, 8, 38, 18, 0, 44, 9, 45, 51, 5, 32, 47, 57, 13, 14, 55, 27, 40, 52, 37, 25, 36, 49, 2]","0","s","12596","12596","s","2","NA","13938","legacy","1024","2","48000","-16","images_presentation","23990","0","even","25455","36911","25454","25441","1339","36913","NA","47930","36911","46430","25455","13940","23941","NA","13938","37928","47930","25455","1339","37664","1342","1341","37929","images_presentation","0","12596","1","33992","11517","images_presentation","yes","1024"
"undefined","undefined","12596","12596","black","legacy","legacy","legacy","0","living","uniform","undefined","undefined","1","23","1","0","0","23","0","1","23","1","1","0","0","0","0","1","1","1","0","23","0","0","1","Mon May 30 13:30:53 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[51, 30, 40, 15, 25, 4, 22, 9, 10, 6, 41, 44, 14, 55, 33, 0, 38, 21, 29, 34, 8, 56, 39, 20, 46, 28, 35, 16, 11, 52, 53, 12, 49, 32, 23, 26, 5, 58, 57, 3, 36, 17, 27, 18, 47, 24, 45, 37, 54, 50, 2, 48, 19, 31, 1, 43, 7, 13, 42, 59]","768","legacy","11","11","1","[]","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_4.csv","legacy","dog_3.jpg","['scissors_6', 'scissors_5', 'scissors_9', 'scissors_11', 'scissors_10', 'scissors_7', 'scissors_2', 'scissors_4', 'scissors_1', 'scissors_12', 'scissors_3', 'scissors_8']","Lentiform Loewenfeld","3.3.9","[25, 9, 5, 0, 58, 6, 13, 21, 36, 27, 57, 50, 2, 39, 18, 15, 33, 17, 26, 14, 35, 24, 53, 38, 44, 31, 55, 41, 47, 4, 7, 16, 3, 34, 1, 54, 19, 8, 20, 22, 45, 28, 43, 59, 32, 37, 46, 11, 40, 51, 56, 23, 30, 12, 42, 52, 49, 10, 48, 29]","0","s","12596","12596","s","2","NA","13938","legacy","1024","2","48000","-16","images_presentation","46527","0","even","48024","59449","48024","25441","1339","59450","NA","70468","59449","68968","48024","13940","23941","NA","13938","60465","70468","48024","1339","60201","1342","1341","60466","images_presentation","0","12596","1","56530","34086","images_presentation","yes","1024"
"undefined","undefined","12596","12596","black","legacy","legacy","legacy","0","living","uniform","undefined","undefined","2","35","2","0","0","35","0","2","35","2","2","0","0","0","0","2","2","2","0","35","0","0","2","Mon May 30 13:30:53 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[32, 24, 48, 45, 50, 44, 19, 1, 52, 20, 51, 13, 55, 40, 9, 12, 16, 10, 18, 0, 4, 49, 6, 22, 43, 26, 30, 46, 21, 15, 59, 25, 42, 37, 41, 29, 2, 11, 23, 8, 38, 57, 33, 53, 3, 17, 34, 7, 58, 54, 35, 27, 31, 14, 36, 28, 39, 47, 56, 5]","768","legacy","11","11","2","[]","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_4.csv","legacy","dog_5.jpg","['scissors_5', 'scissors_8', 'scissors_11', 'scissors_7', 'scissors_3', 'scissors_2', 'scissors_12', 'scissors_9', 'scissors_1', 'scissors_10', 'scissors_6', 'scissors_4']","Lentiform Loewenfeld","3.3.9","[33, 59, 28, 1, 14, 58, 46, 10, 56, 32, 29, 31, 17, 16, 55, 50, 30, 6, 52, 23, 20, 34, 7, 39, 11, 35, 21, 44, 45, 49, 19, 51, 42, 12, 5, 3, 18, 27, 24, 26, 38, 54, 43, 57, 15, 22, 25, 48, 53, 40, 36, 13, 0, 2, 37, 47, 41, 9, 4, 8]","0","s","12596","12596","s","2","NA","13938","legacy","1024","2","48000","-16","images_presentation","68978","0","even","70507","81901","70506","25441","1339","81902","NA","92919","81901","91419","70507","13940","23941","NA","13938","82916","92919","70507","1339","82653","1342","1341","82917","images_presentation","0","12596","1","78981","56569","images_presentation","yes","1024"
"undefined","undefined","12596","12596","black","legacy","legacy","legacy","0","living","uniform","undefined","undefined","3","47","3","0","0","47","0","3","47","3","3","0","0","0","0","3","3","3","0","47","0","0","3","Mon May 30 13:30:53 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[56, 53, 55, 39, 47, 26, 7, 38, 13, 33, 36, 49, 57, 0, 14, 3, 25, 20, 12, 43, 48, 15, 10, 5, 52, 31, 42, 37, 21, 24, 32, 16, 30, 9, 35, 59, 1, 19, 28, 18, 44, 11, 41, 6, 45, 4, 50, 8, 58, 54, 51, 40, 17, 22, 2, 34, 46, 27, 23, 29]","768","legacy","11","11","3","[]","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_4.csv","legacy","dog_3.jpg","['scissors_3', 'scissors_1', 'scissors_11', 'scissors_6', 'scissors_12', 'scissors_5', 'scissors_10', 'scissors_7', 'scissors_2', 'scissors_4', 'scissors_8', 'scissors_9']","Lentiform Loewenfeld","3.3.9","[9, 17, 35, 52, 4, 59, 12, 24, 30, 55, 13, 31, 20, 37, 11, 7, 32, 26, 0, 46, 15, 27, 22, 6, 42, 48, 28, 23, 1, 34, 18, 57, 47, 29, 36, 21, 2, 14, 40, 45, 50, 49, 25, 8, 58, 56, 41, 33, 3, 43, 16, 53, 39, 54, 44, 51, 10, 19, 5, 38]","0","s","12596","12596","s","2","NA","13938","legacy","1024","2","48000","-16","images_presentation","91452","0","even","92996","104374","92996","25441","1339","104375","NA","115392","104374","113892","92996","13940","23941","NA","13938","105390","115392","92996","1339","105126","1342","1341","105391","images_presentation","0","12596","1","101454","79058","images_presentation","yes","1024"
"undefined","undefined","12596","12596","black","legacy","legacy","legacy","0","gaussian","uniform","undefined","undefined","4","59","4","0","0","59","0","4","59","4","4","0","0","0","0","4","4","4","0","59","0","0","4","Mon May 30 13:30:53 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[53, 5, 30, 54, 41, 21, 50, 22, 35, 11, 28, 18, 37, 49, 52, 55, 32, 58, 20, 23, 26, 17, 16, 13, 44, 45, 43, 51, 57, 29, 15, 48, 24, 14, 7, 46, 8, 36, 39, 33, 38, 31, 9, 3, 42, 19, 10, 6]","768","legacy","11","11","4","['dog_5', 'dog_10', 'dog_9', 'dog_7', 'dog_2', 'dog_4', 'dog_8', 'dog_11', 'dog_1', 'dog_3', 'dog_12', 'dog_6']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_4.csv","legacy","gaussian_2.jpg","['scissors_11', 'scissors_2', 'scissors_1', 'scissors_10', 'scissors_8', 'scissors_12', 'scissors_9', 'scissors_6', 'scissors_4', 'scissors_7', 'scissors_3', 'scissors_5']","Lentiform Loewenfeld","3.3.9","[47, 12, 8, 5, 16, 21, 23, 11, 30, 45, 22, 19, 58, 40, 10, 24, 31, 32, 25, 50, 7, 48, 35, 20, 4, 43, 56, 46, 51, 1, 38, 6, 9, 26, 36, 55, 33, 2, 52, 27, 34, 28, 42, 14, 0, 39, 53, 3, 54, 29, 13, 18, 57, 15, 17, 49, 41, 59, 44, 37]","0","s","12596","12596","s","2","NA","13938","legacy","1024","2","48000","-16","images_presentation","113949","0","even","115435","126872","115434","25441","1339","126873","NA","137889","126872","136389","115435","13940","23941","NA","13938","127887","137889","115435","1339","127624","1342","1341","127888","images_presentation","0","12596","1","123951","101497","images_presentation","yes","1024"
"undefined","undefined","12596","12596","black","legacy","legacy","legacy","0","non_living","uniform","undefined","undefined","5","71","5","0","0","71","0","5","71","5","5","0","0","0","0","5","5","5","0","71","0","0","5","Mon May 30 13:30:53 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[22, 52, 42, 36, 34, 7, 1, 14, 49, 33, 54, 48, 0, 38, 10, 26, 29, 31, 21, 11, 24, 56, 6, 55, 41, 17, 28, 27, 45, 39, 30, 19, 13, 32, 2, 50, 35, 18, 20, 43, 25, 16, 15, 58, 12, 4, 46, 59, 40, 44, 47, 23, 9, 5, 3, 51, 8, 53, 37, 57]","768","legacy","11","11","5","['dog_5', 'dog_6', 'dog_11', 'dog_1', 'dog_4', 'dog_9', 'dog_12', 'dog_2', 'dog_7', 'dog_8', 'dog_10', 'dog_3']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_4.csv","legacy","scissors_3.jpg","[]","Lentiform Loewenfeld","3.3.9","[23, 33, 45, 58, 47, 59, 6, 55, 16, 44, 1, 5, 17, 14, 42, 0, 53, 20, 36, 8, 35, 34, 13, 31, 26, 51, 40, 56, 21, 28, 57, 4, 50, 9, 48, 46, 52, 15, 41, 7, 19, 39, 30, 49, 12, 2, 32, 29, 54, 22, 24, 43, 25, 38, 11, 3, 37, 27, 18, 10]","0","s","12596","12596","s","2","NA","13938","legacy","1024","2","48000","-16","images_presentation","136423","0","even","137968","149345","137968","25441","1339","149346","NA","160363","149345","158863","137968","13940","23941","NA","13938","150361","160363","137968","1339","150097","1342","1341","150362","images_presentation","0","12596","1","146425","124030","images_presentation","yes","1024"
"undefined","undefined","12596","12596","black","legacy","legacy","legacy","0","non_living","uniform","undefined","undefined","6","83","6","0","0","83","0","6","83","6","6","0","0","0","0","6","6","6","0","83","0","0","6","Mon May 30 13:30:53 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[42, 22, 24, 29, 41, 17, 30, 13, 59, 26, 39, 15, 14, 47, 16, 21, 51, 3, 54, 5, 18, 35, 33, 43, 52, 11, 7, 48, 53, 44, 45, 36, 25, 19, 23, 49, 28, 9, 55, 10, 0, 31, 12, 58, 32, 2, 20, 40, 4, 27, 46, 57, 6, 1, 56, 8, 34, 37, 38, 50]","768","legacy","11","11","6","['dog_6', 'dog_5', 'dog_8', 'dog_10', 'dog_3', 'dog_2', 'dog_1', 'dog_11', 'dog_12', 'dog_7', 'dog_4', 'dog_9']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_4.csv","legacy","scissors_6.jpg","[]","Lentiform Loewenfeld","3.3.9","[12, 41, 14, 16, 17, 34, 33, 44, 18, 13, 35, 20, 49, 24, 25, 52, 30, 9, 1, 26, 57, 53, 56, 36, 55, 37, 45, 29, 15, 54, 32, 2, 11, 51, 58, 4, 28, 22, 27, 0, 43, 5, 21, 42, 31, 46, 23, 6, 39, 3, 48, 47, 8, 38, 10, 19, 59, 50, 7, 40]","0","s","12596","12596","s","2","NA","13938","legacy","1024","2","48000","-16","images_presentation","158893","0","even","160441","171814","160440","25441","1339","171816","NA","182834","171814","181334","160441","13940","23941","NA","13938","172830","182834","160441","1339","172567","1342","1341","172832","images_presentation","0","12596","1","168896","146503","images_presentation","yes","1024"
"undefined","undefined","12596","12596","black","legacy","legacy","legacy","0","gaussian","uniform","undefined","undefined","7","95","7","0","0","95","0","7","95","7","7","0","0","0","0","7","7","7","0","95","0","0","7","Mon May 30 13:30:53 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[33, 25, 45, 24, 43, 49, 13, 0, 2, 58, 22, 38, 47, 42, 31, 26, 15, 59, 35, 56, 10, 21, 52, 48, 30, 57, 36, 19, 28, 20, 53, 1, 46, 27, 40, 16, 23, 54, 9, 7, 18, 17, 11, 29, 55, 34, 51, 44]","768","legacy","11","11","7","['dog_9', 'dog_3', 'dog_4', 'dog_11', 'dog_2', 'dog_8', 'dog_6', 'dog_7', 'dog_1', 'dog_5', 'dog_10', 'dog_12']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_4.csv","legacy","gaussian_14.jpg","['scissors_10', 'scissors_2', 'scissors_12', 'scissors_1', 'scissors_6', 'scissors_4', 'scissors_7', 'scissors_5', 'scissors_8', 'scissors_3', 'scissors_11', 'scissors_9']","Lentiform Loewenfeld","3.3.9","[17, 53, 33, 4, 22, 20, 2, 13, 50, 32, 29, 56, 42, 1, 8, 39, 5, 54, 34, 30, 35, 15, 47, 45, 49, 10, 51, 24, 48, 7, 28, 9, 0, 19, 31, 37, 16, 38, 18, 23, 6, 3, 52, 57, 21, 25, 26, 43, 44, 36, 12, 58, 59, 46, 55, 11, 27, 14, 40, 41]","0","s","12596","12596","s","2","NA","13938","legacy","1024","2","48000","-16","images_presentation","181379","0","even","182872","194300","182871","25441","1339","194302","NA","205319","194300","203819","182872","13940","23941","NA","13938","195317","205319","182872","1339","195053","1342","1341","195318","images_presentation","0","12596","1","191381","168934","images_presentation","yes","1024"
"undefined","undefined","12596","12596","black","legacy","legacy","legacy","0","living","uniform","undefined","undefined","8","107","8","0","0","107","0","8","107","8","8","0","0","0","0","8","8","8","0","107","0","0","8","Mon May 30 13:30:53 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[15, 21, 17, 20, 0, 40, 44, 56, 35, 49, 45, 58, 33, 32, 51, 26, 50, 53, 16, 39, 5, 30, 8, 34, 38, 4, 7, 29, 19, 18, 48, 2, 10, 27, 9, 14, 13, 1, 36, 11, 57, 55, 52, 25, 43, 22, 12, 23, 37, 42, 54, 59, 47, 6, 28, 41, 31, 46, 24, 3]","768","legacy","11","11","8","[]","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_4.csv","legacy","dog_10.jpg","['scissors_7', 'scissors_1', 'scissors_4', 'scissors_9', 'scissors_11', 'scissors_6', 'scissors_8', 'scissors_10', 'scissors_3', 'scissors_2', 'scissors_12', 'scissors_5']","Lentiform Loewenfeld","3.3.9","[33, 53, 5, 14, 41, 37, 7, 42, 55, 52, 24, 26, 8, 39, 0, 12, 22, 30, 25, 44, 23, 57, 29, 40, 1, 35, 4, 18, 45, 32, 49, 31, 11, 21, 2, 50, 13, 20, 19, 36, 16, 9, 54, 47, 10, 6, 43, 51, 15, 38, 48, 27, 28, 59, 46, 3, 34, 56, 58, 17]","0","s","12596","12596","s","2","NA","13938","legacy","1024","2","48000","-16","images_presentation","203850","0","even","205397","216771","205396","25441","1339","216773","NA","227790","216771","226290","205397","13940","23941","NA","13938","217788","227790","205397","1339","217524","1342","1341","217789","images_presentation","0","12596","1","213852","191459","images_presentation","yes","1024"
"undefined","undefined","12596","12596","black","legacy","legacy","legacy","0","non_living","uniform","undefined","undefined","9","119","9","0","0","119","0","9","119","9","9","0","0","0","0","9","9","9","0","119","0","0","9","Mon May 30 13:30:53 2022","The main experiment item","yes","",".opensesamerun-tmp.osexp","C:\Users\Experimental user\Desktop\pilot_patxi_marta\perception","no","mono","no","18","no","white","no","yes","[6, 47, 38, 52, 54, 11, 27, 41, 56, 26, 7, 18, 59, 28, 10, 53, 44, 49, 14, 29, 25, 58, 21, 24, 42, 30, 5, 33, 48, 2, 3, 9, 23, 43, 20, 32, 4, 57, 16, 13, 12, 37, 45, 1, 0, 39, 34, 19, 31, 36, 51, 55, 46, 8, 40, 17, 15, 50, 22, 35]","768","legacy","11","11","9","['dog_10', 'dog_8', 'dog_3', 'dog_6', 'dog_4', 'dog_12', 'dog_9', 'dog_2', 'dog_1', 'dog_7', 'dog_11', 'dog_5']","C:/Users/Experimental user/Desktop/pilot_patxi_marta/perception/run_4.csv","legacy","scissors_2.jpg","[]","Lentiform Loewenfeld","3.3.9","[39, 1, 10, 34, 40, 4, 14, 46, 54, 18, 42, 8, 28, 15, 17, 52, 48, 58, 30, 11, 37, 22, 41, 35, 2, 29, 45, 49, 56, 33, 21, 51, 59, 43, 6, 47, 27, 0, 9, 25, 44, 57, 24, 13, 7, 23, 12, 16, 50, 36, 19, 31, 53, 26, 38, 20, 32, 55, 5, 3]","0","s","12596","12596","s","2","NA","13938","legacy","1024","2","48000","-16","images_presentation","226294","0","even","227840","239216","227840","25441","1339","239217","NA","250234","239216","248734","227840","13940","23941","NA","13938","240232","250234","227840","1339","239968","1342","1341","240233","images_presentation","0","12596","1","236296","213902","images_presentation","yes","1024"
